epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,755.015,0.57712,0.50322,0.94644,0.92571,0.9211,0.96073,0.86546,0.4705,0.37365,0.87463,0.009208,0.009208,0.009208
1,625.47,0.58205,0.7387,0.95066,0.77754,0.81585,0.84095,0.58347,0.94002,0.80455,1.10394,0.00333102,0.00333102,0.00333102
2,1202.77,0.55271,0.46276,0.9361,0.925,0.91137,0.95894,0.86753,0.46484,0.38625,0.88018,0.0065324,0.0065324,0.0065324
3,1782.34,0.57136,0.47669,0.94553,0.92152,0.91492,0.95321,0.85402,0.48526,0.38828,0.88642,0.00960178,0.00960178,0.00960178
4,2352.49,0.57193,0.47649,0.94704,0.92187,0.90615,0.95879,0.86654,0.46483,0.38844,0.87445,0.009406,0.009406,0.009406
5,2921.18,0.53778,0.44159,0.93472,0.92858,0.9346,0.96827,0.88836,0.4274,0.3348,0.86071,0.009208,0.009208,0.009208
6,3486.54,0.51926,0.42235,0.9294,0.93453,0.92751,0.96746,0.88943,0.41792,0.32715,0.85749,0.00901,0.00901,0.00901
7,4051.86,0.50656,0.40981,0.92396,0.9378,0.92435,0.96946,0.89828,0.40125,0.31443,0.85414,0.008812,0.008812,0.008812
8,551.366,0.49736,0.39875,0.92178,0.94887,0.92805,0.97141,0.90258,0.39041,0.29731,0.84713,0.008614,0.008614,0.008614
9,1110.41,0.48827,0.39065,0.91804,0.94312,0.92845,0.97139,0.90723,0.38241,0.29421,0.84623,0.008416,0.008416,0.008416
10,1681.91,0.48222,0.3828,0.91597,0.93761,0.93576,0.97215,0.90842,0.38004,0.28687,0.84494,0.008218,0.008218,0.008218
11,2254.75,0.47525,0.37592,0.9138,0.93302,0.94176,0.9728,0.91133,0.37461,0.28203,0.8427,0.00802,0.00802,0.00802
12,2825.74,0.46622,0.36925,0.91012,0.94272,0.93823,0.9741,0.91431,0.36873,0.27346,0.8422,0.007822,0.007822,0.007822
13,3392.8,0.46276,0.3625,0.91002,0.94162,0.93867,0.97405,0.91397,0.36788,0.274,0.84124,0.007624,0.007624,0.007624
14,3959.23,0.45934,0.36087,0.90968,0.94584,0.93435,0.97443,0.9155,0.36513,0.27276,0.84251,0.007426,0.007426,0.007426
15,4516.19,0.45745,0.35754,0.90843,0.94756,0.93636,0.97494,0.91671,0.3636,0.26483,0.8406,0.007228,0.007228,0.007228
